TS Product Code,Product Brand Name,Part Name,Part Name Type,Supplier Copy,Toolstation Catalogue Copy,Toolstation Web Copy,Application Method,Colour Family,Colour Name,Content Volume,Coverage,Dilutable,Drying Time,Finish,Interior Or Exterior Use,Liquid Base,Recoat Time,Recommended Number Of Coats,Showerproof Ready,Substrate,Suitable For,Touch Dry
40382,Armstead Trade,Armstead Trade Durable Acrylic Eggshell Paint White,5L,,"A professional quality, tough, durable and quick drying mid-sheen finish white paint with good flow and application properties. Suitable for all normal interior wood, plaster and masonry surfaces.
 
 • Tough, durable eggshell mid-sheen finish
 • Good opacity
 • Ideal for high traffic areas
 • Water based","<lt/>p<gt/>For a professional-quality, durable mid-sheen finish in busy rooms, look no further than Armstead Trade Durable Acrylic Eggshell. This quick-drying white paint stands up to the challenge of high-traffic areas, offering good flow and application properties to get the job done quickly.<lt/>/p<gt/><lt/>p<gt/>The paint is suitable for all normal interior wood, plaster and masonry surfaces. It's touch-dry within four hours and recoatable in six - with a generous coverage of up to 15m² per litre ensuring each tin goes a long way.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 15m² per litre<lt/>/p<gt/><lt/>p<gt/>• Touch-dry in just 3-4 hours<lt/>/p<gt/><lt/>p<gt/>• Recoatable in just 4-6 hours<lt/>/p<gt/><lt/>p<gt/>• Normal finishing process of two full coats<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior use only<lt/>/p<gt/><lt/>p<gt/>• For use on wood, plaster and masonry surfaces<lt/>/p<gt/><lt/>p<gt/>• Tough and durable white mid-sheen finish<lt/>/p<gt/><lt/>p<gt/>• Perfect for use in high-traffic areas<lt/>/p<gt/><lt/>p<gt/>• Water-based formula<lt/>/p<gt/><lt/>p<gt/>• 5L tin - total coverage of up to 75m²<lt/>/p<gt/>",Brush;Roller;Spray,White,White,5 l,Up to 75m² (up to 15m²/L),Yes,6 hr,Egg Shell,Interior Use,Water,4 hr,2,No,Masonry;Plaster;Wood,"Interior, high traffic areas",3 hr
40488,Plastikote,Plastikote Quick Dry Acrylic Spray Paint 400ml,Silver,,,,,Metallic,Silver,400 ml,,,,Gloss,,,,,,,,
40443,Rustins,Rustins Xylene Thinner 500ml,Clear,,"A general purpose pure solvent, ideal for thinning most types of oil based paint. Cleans brushes and equipment used with oil based paints. Ideal for degreasing metals. Hazard safety codes: Xn, Xi, R10, R20, R21, R38.
 
 
 Sale will be restricted to over 18s.","<lt/>p<gt/>A general-purpose pure solvent, perfect for thinning most types of oil-based paint. A powerful and versatile product, Rustins Xylene Thinners can also be used to clean brushes and other equipment used with oil-based paints.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Perfect for thinning most oil-based paints<lt/>/p<gt/><lt/>p<gt/>• Cleans brushes and equipment used with oil-based paints<lt/>/p<gt/><lt/>p<gt/>• For the dilution of Rustins Damp Seal and High Heat paints<lt/>/p<gt/><lt/>p<gt/>• Ideal for degreasing metals<lt/>/p<gt/><lt/>p<gt/>• Can be added to old paint and varnish that have become slow-drying<lt/>/p<gt/><lt/>p<gt/>• Hazard safety codes - Xn, Xi, R10, R20, R21, R38<lt/>/p<gt/>",Brush;Roller,Clear,Clear,500 ml,"Varied, dependent on use",Yes,,,Interior and Exterior,Solvent,,,No,Masonry;Metal;Plaster;Wood,"Thinning most types of oil based paint, can also be used to clean brushes and other equipment",
40546,Cuprinol,Cuprinol 5 Star Complete Wood Treatment 5L,Clear,,"A clear, low odour, water based, all purpose treatment, to prevent insect attack, re-infestation and protect from fungal decay. Also protects against wet rot, dry rot and woodworm. Coverage rate of 3.5 to 5m² per litre (typically requires 2-3 uniform coats).",,Brush,Clear,Clear,5 l,Up to 25m² (5m²/L),No,48 hr,Matt,Exterior Use,Water,24 hr,3,No,Wood,"Preventing insect attack and re-infestation as well as protection from fungal decay, wet rot, dry rot and woodworm",24 hr
40553,Zinsser,Zinsser Allcoat Exterior Satin Paint,White 1L,,"Protection to all exterior surfaces including varnish. It forms a vapour-permeable, low maintenance, water-shedding tough finish that is recoatable in just 1 hour. Water-based, self priming and can be applied to previously painted surfaces without sanding. Approximate coverage: 12m² per litre.","<lt/>p<gt/>Your outdoor surfaces will benefit from the ultimate in long-lasting protection if you apply this Zinsser AllCoat Exterior satin paint. Use it on wood, metal, masonry, plastic, concrete and cladding - it will form a tough and vapour-permeable, water-shedding coating that is recoatable in as little as one hour.<lt/>/p<gt/><lt/>p<gt/>This white paint is self-priming, and can be applied to most previously-painted surfaces without sanding - even glossy paints, or surfaces coated with bitumen, tar varnish or creosote.<lt/>/p<gt/><lt/>p<gt/>The tough finish is weather-resistant and offers excellent colour retention for a long-lasting finish. In addition, the paint also contains a biocide to protect the dried coating against fungal degradation. When you use Zinsser AllCoat Exterior, your exterior surfaces will look bright and beautiful for years to come!<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 12m² per litre<lt/>/p<gt/><lt/>p<gt/>• Touch-dry in just 30 minutes<lt/>/p<gt/><lt/>p<gt/>• Recoatable in just 1 hour - get the job done quicker<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush or roller or spray<lt/>/p<gt/><lt/>p<gt/>• Water-based paint ideal for airless spray application<lt/>/p<gt/><lt/>p<gt/>• Supreme protection for all exterior surfaces<lt/>/p<gt/><lt/>p<gt/>• Perfect for wood, metal, masonry, plastic, concrete and cladding<lt/>/p<gt/><lt/>p<gt/>• Self-priming for easy application<lt/>/p<gt/><lt/>p<gt/>• Excellent colour retention - long-lasting finish for up to 15 years<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 1L tin - total coverage of up to 12m²<lt/>/p<gt/>",Brush;Roller;Spray,White,White,1 l,12 m² per litre,No,1 hr,Satin,Exterior Use,Water,1 hr,2,Yes,Wood;Metal;Masonry,"All exterior surfaces including wood, metal, masonry, plastic, concrete and cladding",30 min
40059,Cuprinol,Cuprinol Garden Shades Exterior Paint 2.5L,Coastal Mist,,"These days it's not just plants that bring colour to the garden. Paint fences, sheds, ornaments and pots with Cuprinol Garden Shades to create a splash of colour or a subtle background for your borders. Garden Shades is a specially developed paint range suitable for use on multiple surfaces and works equally well on wood, stone, brick and terracotta.
 
 There's a wide range of colours available so you can mix and match shades for a stylish garden colour scheme that reflects your personality. The paint is easy to apply using a brush or spray, and special pigments give a rich shade without obscuring the natural grain of the wood. Apply a couple of coats, preferably on the same day, for best results. When used on smooth surfaces it dries to a matt finish.
 
 • Colour sheds, fences or other garden furniture
 • Six year protection for wood
 • Matt finish
 • Easy to apply with brush or spray
 • Special pigments ensure rich colour and natural grain still shows through
 • For best results apply 2 coats
 • Touch dry in one hour
 • Also apply to terracotta, brick, stone
 • Clean brushes with water","Bring more than just your plants to life by adding a splash of colour to your garden. With Cuprinol Garden Shades, you can easily paint fences, sheds, and even terracotta pots to create a stylish outdoor space that reflects your personality. This specially developed paint is designed for use on multiple surfaces including wood, stone, and brick.
 
 Application is straightforward with a brush or spray, and the special pigments ensure a rich, matt finish that enhances the natural grain of the wood. For the best results, apply two coats. The paint is water-based and touch-dry in just one hour, offering up to six years of weather protection for your garden wood.
 
 • Versatile use – suitable for wood, terracotta, brick, and stone
 • Long-lasting colour – provides six years of weather protection for wood
 • Rich matt finish – enhances the natural grain of the wood
 • Easy application – apply with a brush or spray for quick results
 • Quick-drying – touch dry in one hour for a faster job
 • Excellent coverage – up to 10m² per litre
 • Wide selection – available in a variety of colours and sizes",Brush;Spray,Blue,Blue,2.5 l,25m2 (10m2/L),No,4 hr,Matt,Exterior Use,Water,4 hr,2,No,Wood;Masonry,"Wood, terracotta, brick and stone such as fences, sheds, pots and outdoor furniture",1 hr
40342,Crown Contract,Crown Contract Supercovertex Matt Paint 15L,Brilliant White,,"High opacity matt emulsion paint. Easy to apply with low spatter. Quick drying and ideal for new plaster. Suitable for walls and ceilings. Coverage up to 13m² per litre. Recoatable after 2-4 hours.
 
 
 
 AVAILABLE FOR BRANCH COLLECTION ONLY","<lt/>p<gt/>For the big jobs, this 15L tub of Crown Contract Super Covertex won't let you down. It's a high-opacity matt emulsion paint providing up to 195m² of coverage.<lt/>/p<gt/><lt/>p<gt/>Perfect for newly-plastered walls and ceilings, the brilliant white paint's low-splatter formula means it's easy to apply by brush, roller or spray - it's a professional choice for new builds or large-scale decorating jobs, and fast-drying to help you get the work done quicker.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 13m² per litre<lt/>/p<gt/><lt/>p<gt/>• Touch-dry in just 2 hours<lt/>/p<gt/><lt/>p<gt/>• Recoatable in just 2-4 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• High-opacity, brilliant white matt emulsion<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior walls and ceilings<lt/>/p<gt/><lt/>p<gt/>• Perfect for use on new plaster<lt/>/p<gt/><lt/>p<gt/>• Excellent coverage and low splatter<lt/>/p<gt/><lt/>p<gt/>• Large 15L tub - total coverage of up to 195m²<lt/>/p<gt/><lt/>p<gt/>• Available for store collection only<lt/>/p<gt/>",,White,White,15 l,,,,Matt,,,,,,,,
41022,Barrettine,Barrettine Wood Protective Treatment 5L,Dark Brown,,,"<lt/>p<gt/>Keep your outdoor timber structures in top condition for longer by applying Barrettine Wood Protective Treatment. The oil/solvent-based formula penetrates the wood deeper to provide longer-lasting protection.<lt/>/p<gt/><lt/>p<gt/>It reduces decay, swelling and twisting, and contains a biocide film preserver that prevents the surface growth of mould or algae - your timber will stay stronger, and look better. The treatment also provides fade-resistant UV protection, making it perfect for use outdoors on your shed, fence, trellis, pergola or gazebo.<lt/>/p<gt/><lt/>p<gt/>A 5L tin goes a long way too, offering you up to 30-40m² of coverage on rough, sawn or smooth timber. The low-odour formula is ready to use, so there's no time wasted with dilutions. A quick and easy application is all that's needed to protect your pre-treated wood from the elements.<lt/>/p<gt/><lt/>p<gt/>• Suitable for use on pre-treated rough, sawn or smooth timber<lt/>/p<gt/><lt/>p<gt/>• Oil/solvent-based formula penetrates deeper for greater protection<lt/>/p<gt/><lt/>p<gt/>• Prevents the surface growth of mould or algae<lt/>/p<gt/><lt/>p<gt/>• Reduces the decay, swelling and twisting of wood for longer-lasting protection<lt/>/p<gt/><lt/>p<gt/>• Won't harm beneficial insects or plants when dry<lt/>/p<gt/><lt/>p<gt/>• Protects wood from UV damage with impressive fade-resistance<lt/>/p<gt/><lt/>p<gt/>• 6-8m² coverage per litre to ensure each tin goes a long way<lt/>/p<gt/><lt/>p<gt/>• Ideal for your shed, fence, trellis, pergola or other outdoor timber structure<lt/>/p<gt/><lt/>p<gt/>• Not recommended for decking or garden furniture<lt/>/p<gt/>",Brush;Roller;Spray,Brown,Brown,5 l,30-40 m² (6-8 m²/L),No,12 hr,Matt,Exterior Use,Solvent,6 hr,2-3,No,Wood,"Pre-treated rough sawn or smooth timber such as sheds, fences, trellis, pergolas or other outdoor timber structures - not recommended for decking or garden furniture",6 hr
41126,Bedec,Bedec Barn Paint,Satin Black 5L,,,"<lt/>p<gt/>If you want the ultimate protection for your outdoor buildings, choose the ultimate surface coating system! You can use Bedec Acrylic Exterior Barn Paint for all kinds of applications - barns, stables, outbuildings, sheds, fencing and more.<lt/>/p<gt/><lt/>p<gt/>This tough and durable acrylic paint offers excellent colour retention, and will flex with the substrate to prevent flaking or cracking. Suitable for use on wood, galvanised steel, plastic, concrete, brick and cladding, it's a versatile and professional choice.<lt/>/p<gt/><lt/>p<gt/>Bedec Barn Paint can be applied to previously painted surfaces - even those coated with weathered bitumen, tar varnish or creosote. It provides protection against rain and severe weather, while preventing rot and algae build-up too.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 13-15m² per litre<lt/>/p<gt/><lt/>p<gt/>• Touch-dry in just 2-4 hours<lt/>/p<gt/><lt/>p<gt/>• Recoatable in just 4 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• Perfect for barns, stables, outbuildings, sheds and fencing<lt/>/p<gt/><lt/>p<gt/>• Suitable for use on a variety of exterior surfaces<lt/>/p<gt/><lt/>p<gt/>• Prevents rot and algae build-up<lt/>/p<gt/><lt/>p<gt/>• High resistance against cracking, blistering and flaking<lt/>/p<gt/><lt/>p<gt/>• Protects surfaces from rain and severe weather<lt/>/p<gt/><lt/>p<gt/>• Tough and durable - excellent colour retention<lt/>/p<gt/><lt/>p<gt/>• Attractive black satin finish<lt/>/p<gt/><lt/>p<gt/>• 5L tin - total coverage of up to 75m²<lt/>/p<gt/>",Brush;Roller;Spray,Black,Black,5 l,75m² (15m²/L),Yes,4 hr,Satin,Exterior Use,Water,4 hr,2-3,No,Masonry;Metal;Wood,"Wood, galvanised steel, plastic, concrete, brick and cladding including barns, stables, outbuildings, sheds, fencing and more",2 hr
40670,Rustins,Quick Dry Garden Paint 750ml,Barley,,,,,,,750 ml,,,,,,,,,,,,
40676,Sandtex,Sandtex Ultra Smooth Masonry Paint 10L,Mid Stone,A high quality smooth masonry paint with unique Microseal Technology,,"<lt/>p<gt/>Give your exterior walls the coverage and care they need! Using this Sandtex masonry paint, you'll combine a smooth, light beige finish with weatherproof protection that lasts up to 15 years.<lt/>/p<gt/><lt/>p<gt/>Application with a brush, roller or spray couldn't be easier. It'll be rainproof in one hour and recoatable within four hours, helping you get the job done quicker. Once dry, the paint's enhanced formula protects it against peeling, flaking and dirt too - this professional finish will continue to look its best, for even longer.<lt/>/p<gt/><lt/>p<gt/>This exterior paint really is the perfect protective coating for your home - it's a versatile option suitable for surfaces including breeze blocks, concrete blocks, pebbledash, rendering, roughcast and facing bricks. You can even apply it to masonry door surroundings and masonry window ledges. If it's outside, get it covered with Sandtex!<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 16m² per litre<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or airless spray<lt/>/p<gt/><lt/>p<gt/>• Touch-dry and recoatable in 3-4 hours<lt/>/p<gt/><lt/>p<gt/>• Normal finishing process of two full coats<lt/>/p<gt/><lt/>p<gt/>• Highly resistant to peeling, cracking and flaking<lt/>/p<gt/><lt/>p<gt/>• Rainproof in 1 hour - no worries about the weather<lt/>/p<gt/><lt/>p<gt/>• Durable - up to 15 years of weatherproof protection<lt/>/p<gt/><lt/>p<gt/>• Dirt-resistant - keeps surfaces looking their best<lt/>/p<gt/><lt/>p<gt/>• Microseal® technology - protects, but lets surface breathe<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 10L tub - total coverage of up to 160m²<lt/>/p<gt/>",Brush;Roller,Mineral,Mid Stone,10 l,160 m²,Yes,4 hr,Smooth,Exterior Use,Water,4 hr,2,Yes,Masonry,"External concrete; masonry; stone, brick; block; exterior grade building boards",3 hr
40718,Zinsser,Zinsser Ceiling Pro 5 in 1 Paint,White 2.5L,,"Adheres to any surface, sealing stains including water and smoke. Bridges hairline cracks and contains a biocide to protect against fungal degradation. Recoat in 1hr. Approximate coverage: 10m² per litre.","<lt/>p<gt/>You won't waste any time with Zinsser Ceiling Pro 5 in 1. This professional ceiling paint seals, primes, covers stains, bridges hairline cracks and finishes ceilings - five jobs, from one 2.5L tin!<lt/>/p<gt/><lt/>p<gt/>Zinsser 5 in 1 adheres to almost any surface, sealing stains including water and smoke. It contains a biocide to protect against fungal degradation too - a longer life for your painted ceiling. Combine this with a fast one-hour recoat time, low odour and ultra-low VOC content, it's no wonder this is such a popular choice among trade pros.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 10m² per litre<lt/>/p<gt/><lt/>p<gt/>• Touch-dry in just 30 minutes<lt/>/p<gt/><lt/>p<gt/>• Recoatable in just 1 hour<lt/>/p<gt/><lt/>p<gt/>• Full cure in 4 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• For bare and previously-painted ceilings<lt/>/p<gt/><lt/>p<gt/>• Water-based, non-yellowing finish<lt/>/p<gt/><lt/>p<gt/>• Excellent adhesion to almost any surface<lt/>/p<gt/><lt/>p<gt/>• Seals stains - including water and smoke stains<lt/>/p<gt/><lt/>p<gt/>• Excellent for bridging hairline cracks<lt/>/p<gt/><lt/>p<gt/>• Primes and finishes ceilings<lt/>/p<gt/><lt/>p<gt/>• Protects dried coating against fungal degradation<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 2.5L tin - total coverage of up to 25m²<lt/>/p<gt/>",Brush;Roller;Spray,White,White,2.5 l,25 m² (10 per litre),No,4 hr,Matt,Interior Use,Water,45 min,1-2 depending on surface,No,Plaster,Interior Ceilings,25 min
40637,Sandtex,Sandtex Fine Textured Masonry Paint 5L,Pure Brilliant White,A high quality fine textured masonry paint with unique Microseal Technology,,"<lt/>p<gt/>Give your outdoor walls the coverage and care they need! Using this Sandtex masonry paint, you'll combine a fine-textured and brilliant white finish with weatherproof protection for up to 15 years. Don't worry about those dark clouds either - it'll be rainproof in one hour and recoatable within four hours, helping you get the job done quicker.<lt/>/p<gt/><lt/>p<gt/>Formulated using advanced Microseal® technology, this exterior paint provides an added layer of protection while letting your walls breathe. It won't peel, crack or flake, and it's dirt-resistant to keep surfaces looking as good as new - a professional finish, every time.<lt/>/p<gt/><lt/>p<gt/>Easy to apply by brush or roller, it really is the perfect protective coating for your home - use it on a variety of surfaces from breeze blocks, concrete blocks and pebbledash to rendering, roughcast and facing bricks. You can even apply it to masonry door surroundings and masonry window ledges. If it's outside, get it covered with Sandtex!<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 6.5m² per litre<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush or roller only<lt/>/p<gt/><lt/>p<gt/>• Touch-dry and recoatable in 3-4 hours<lt/>/p<gt/><lt/>p<gt/>• Normal finishing process of two full coats<lt/>/p<gt/><lt/>p<gt/>• Fine textured finish covers even hairline cracks<lt/>/p<gt/><lt/>p<gt/>• Highly resistant to peeling, cracking and flaking<lt/>/p<gt/><lt/>p<gt/>• Rainproof in 1 hour - no worries about the weather<lt/>/p<gt/><lt/>p<gt/>• Durable - up to 15 years of weatherproof protection<lt/>/p<gt/><lt/>p<gt/>• Dirt-resistant - keeps surfaces looking their best<lt/>/p<gt/><lt/>p<gt/>• Microseal® technology - protects, but lets surface breathe<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 5L tin - total coverage of up to 32.5m²<lt/>/p<gt/>",Brush;Roller,White,White,5 l,32.5 m2,Yes,4 hr,Textured,Exterior Use,Water,4 hr,2,Yes,Masonry,"Variety of surfaces from breeze blocks, concrete blocks and pebbledash to rendering, roughcast and facing bricks. Even apply it to masonry door surroundings and masonry window ledges",3 hr
41555,Bedec,Bedec All Prime Primer Paint,2.5L,,"• All Surface/All purpose primer
 • Can be used on Interior and Exterior surfaces
 • Stain Blocking primer sealer
 • Quick drying
 • Water based","<lt/>p<gt/>All purposes, all surfaces - using Bedec All Prime provides the base you'll need to achieve perfect painting results. This white primer can be used on anything from walls, ceilings, doors and trim to fascia, soffits and railings plus ferrous and non-ferrous metals.<lt/>/p<gt/><lt/>p<gt/>The water-based formula is quick-drying and recoatable after four hours, but allowing it to dry overnight before applying a top coat will deliver the very best results. All Prime is great at blocking stains too, particularly with a second coat. Suitable for interior or exterior surfaces.&nbsp;<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 10m² per litre<lt/>/p<gt/><lt/>p<gt/>• Touch-dry in just 2 hours<lt/>/p<gt/><lt/>p<gt/>• Recoatable in just 4 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior and exterior use<lt/>/p<gt/><lt/>p<gt/>• Prepares surfaces for topcoat and blocks stains<lt/>/p<gt/><lt/>p<gt/>• Water-based formula - all-purpose primer for all surfaces<lt/>/p<gt/><lt/>p<gt/>• Perfect for walls, ceilings, doors and much more<lt/>/p<gt/><lt/>p<gt/>• Very porous woods may require two coats<lt/>/p<gt/><lt/>p<gt/>• 2.5L tin - total coverage of up to 25m²<lt/>/p<gt/>",Brush;Roller;Spray,White,White,2.5 l,10 m² per litre,,4 hr,Matt,Interior and Exterior,Water,4 hr,1-2 depending on surface,,Wood;Metal;Plaster,"Walls, ceilings, doors and much more",2 hr
41251,Hammerite,Hammerite Metal Paint,Smooth Yellow 5L,,"• Direct to rust. Easy to use.
 • Up to 8 years rust protection
 • Ultra tough - excellent weather resistance
 • Solvent Based
 • Suitable for exterior use",,Brush,Yellow,Yellow,5 l,25 m2 (5m2/L),No,4 hr,Smooth,Exterior Use,Solvent,4 hr,2,No,Metal,"Metal doors, gates and railings, garden furniture (ferrous and non-ferrous)",1 hr
41235,Bedec,Bedec Multi Surface Paint,Satin Anthracite 2.5L,,,"<lt/>p<gt/>Need a versatile and reliable paint you can depend on for all kinds of jobs? Make this Bedec Multi-Surface Paint your go-to choice - it's suitable for indoor or outdoor use on a wide variety of surfaces.<lt/>/p<gt/><lt/>p<gt/>Apply this satin anthracite paint directly to wood, plastic, metal, plastic-coated steel, galvanised steel, aluminium, copper, cladding, brick, masonry, fibreglass, terracotta, stone, plaster, MDF, tiles, melamine, UPVC and much more!<lt/>/p<gt/><lt/>p<gt/>With its outstanding flexibility, MSP resists flaking, peeling or cracking. It goes over most other paints and varnishes including weathered tar varnish, bitumen and creosote. This water-based paint is non-yellowing, and cleans up with water.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 12-14m² per litre<lt/>/p<gt/><lt/>p<gt/>• Usually dries in 2-4 hours - recoatable after 4 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior and exterior use<lt/>/p<gt/><lt/>p<gt/>• No primer or undercoat needed<lt/>/p<gt/><lt/>p<gt/>• Use on wood, MDF, metals, plastics, tiles, radiators and more<lt/>/p<gt/><lt/>p<gt/>• Resistant to flaking, peeling and cracking<lt/>/p<gt/><lt/>p<gt/>• Quick-drying, water-based formula - low VOC<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 2.5L tin - total coverage of up to 35m²<lt/>/p<gt/>",Brush;Roller;Spray,Grey,Anthracite,2.5 l,35 m²,Yes,4 hr,Satin,Interior and Exterior,Water,4 hr,2,No,Masonry;Metal;Plaster;Tile;UPVC;Vinyl;Wood,"Indoor or outdoor use on a wide variety of surfaces including wood, MDF, metals, plastics, tiles, radiators and more",2 hr
41355,Crown Contract,Crown Contract Vinyl Silk Emulsion Paint 5L,Brilliant White,,"Easy to apply and durable with a wipeable high sheen finish, suitable for interior walls and ceilings. Coverage up to 15m² per litre.","<lt/>p<gt/>Want an attractive high sheen finish for broader wall or ceiling areas? Get the job done properly with Crown Contract Vinyl Silk - a water-based brilliant white paint that's fast-drying, durable and wipeable. With a generous coverage of up to 15m² per litre and easy application by brush or roller, Crown Contract always ensures professional results.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 15m² per litre<lt/>/p<gt/><lt/>p<gt/>• Touch-dry in just 2-3 hours<lt/>/p<gt/><lt/>p<gt/>• Recoatable in just 4 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush or roller<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior walls and ceilings<lt/>/p<gt/><lt/>p<gt/>• Durable and wipeable high sheen finish<lt/>/p<gt/><lt/>p<gt/>• Water-based formula<lt/>/p<gt/><lt/>p<gt/>• 5L tin - total coverage of up to 75m²<lt/>/p<gt/>",Brush;Roller,White,Brilliant White,5 l,16 m² per ltire,Yes,4 hr,Silk,Interior Use,Water,4 hr,2,No,Plaster,Interior walls and ceilings,2 hr
41331,Ronseal,Ronseal Ultimate Protection Decking Paint 2.5L,Slate,,,"<lt/>p<gt/>Is your decking looking a bit worse for wear? Restore it to its former glory quickly and easily with Ronseal Ultimate Protection decking paint. This 2.5L tin will give you coverage of around 10m² with ridged boards, or 12m² when painting smooth-planed boards.<lt/>/p<gt/><lt/>p<gt/>The paint will transform the appearance of your decking, providing long-lasting colour as well as all-weather protection. It fills cracks and locks down splinters, and couldn't be easier to apply. You'll just need to apply two coats, leaving four hours between each one. After 48 hours, get your garden furniture back out - the decking will be looking as good as new, and ready for use!<lt/>/p<gt/><lt/>p<gt/>• All-weather protection for outdoor decking areas<lt/>/p<gt/><lt/>p<gt/>• Fills in small cracks and smooths rough surfaces on weathered decking wood<lt/>/p<gt/><lt/>p<gt/>• Restores your decking back to its former glory<lt/>/p<gt/><lt/>p<gt/>• Long-lasting colour keeps it looking its best for longer<lt/>/p<gt/><lt/>p<gt/>• Covers around 10m² on ridged boards, or 12m² on smooth-planed boards<lt/>/p<gt/><lt/>p<gt/>• Requires two coats - leave four hours between each coat<lt/>/p<gt/>",Brush;Decking Pad,Grey,Slate,2.5 l,25 m² (10 m²/L),Yes,24 hr,Matt,Exterior Use,Water,4 hr,2,Yes,Wood,Ridged and smooth planed wooden decking,90 min
41337,Rustins,Rustins Quick Dry Matt Blackboard Paint,500ml,,"Quick drying, high opacity water based paint. Matt black non-reflective surface. Surface grips chalk for easy marking. For interior and exterior use. Conforms to the Toys (Safety) Regulations 1995, BS EN 71 Part 3. Approx coverage: 6m² per 500ml. Hazard safety codes: Xi, R36.","<lt/>p<gt/>Turn almost any surface into a chalkboard with Rustins Blackboard Paint. Just one or two coats will give you a non-reflective, matt black surface that grips chalk for easy marking.<lt/>/p<gt/><lt/>p<gt/>Perfect for creating a blackboard or noticeboard, and equally useful for photographic work, this chalkboard paint is formulated using water-based acrylic resin - it's a fast-drying and low-odour option that's so easy to apply.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 12m² per litre<lt/>/p<gt/><lt/>p<gt/>• Quick-drying - touch-dry in just 30 minutes<lt/>/p<gt/><lt/>p<gt/>• Usually requires 1-2 coats - recoatable in 6 hours<lt/>/p<gt/><lt/>p<gt/>• Non-reflective matt black surface for blackboards<lt/>/p<gt/><lt/>p<gt/>• Surface grips chalk for easy marking<lt/>/p<gt/><lt/>p<gt/>• Perfect for chalkboards, notice boards or photographic work<lt/>/p<gt/><lt/>p<gt/>• Low-odour - formulated using water-based acrylic resin<lt/>/p<gt/><lt/>p<gt/>• Conforms to the Toys (Safety) Regulations 1995, BS EN 71 Part 3<lt/>/p<gt/><lt/>p<gt/>• Hazard safety codes - Xi, R36<lt/>/p<gt/><lt/>p<gt/>• 500ml tin - total coverage of up to 6m²<lt/>/p<gt/>",Brush;Roller,Black,Black,500 ml,6m² (12m²/L),No,72 hr,Matt,Interior and Exterior,Water,6 hr,1-2,No,Wood,"Creating a blackboard or noticeboard, photography, studio or theatrical use",30 min
